region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Total_Persons_Persons,SA2_NAME,AREA_SQKM,Persons_Total_Volunteer
201011001,35,1560,609,250,1618,1.1,1405,2.8,8345,Alfredton,52.71122585,1392
201011002,40,1400,575,230,1573,1.1,1120,2.3,12076,Ballarat,12.38635705,2507
201011003,38,1300,534,210,1333,1.1,1011,2.4,22027,Ballarat - North,92.34903291,3699
201011004,35,1288,464,200,1062,1.1,857,2.3,22785,Ballarat - South,32.85409228,3299
201011005,36,1517,531,250,1623,1.1,1409,2.8,6600,Buninyong,51.58399817,1477
201011006,35,1413,515,192,1254,1.1,1071,2.7,5749,Delacombe,34.16083481,741
201011007,39,1603,567,240,1432,1.1,1333,3,3780,Smythes Creek,104.7272726,579
201011008,37,1300,457,178,1050,1.1,834,2.3,14211,Wendouree - Miners Rest,67.57562938,1939
201021009,42,1517,519,180,1343,1.1,1132,2.6,5547,Bacchus Marsh Region,1038.853457,1029
201021010,45,1170,446,155,1094,1.1,879,2.4,7423,Creswick - Clunes,856.7886107,1597
201021011,47,1300,460,200,1067,1.1,842,2.2,8393,Daylesford,920.7577812,2004
201021012,43,1400,508,150,1325,1.1,1141,2.6,5413,Gordon (Vic.),850.315366,1081
201031013,49,940,374,130,866,1.1,673,2.2,3303,Avoca,1714.240292,817
201031014,47,1083,405,130,944,1.1,781,2.3,3833,Beaufort,1863.043226,842
201031015,42,1200,451,130,1130,1.1,959,2.6,4059,Golden Plains - North,922.0811329,735
201031016,48,900,387,160,852,1.1,672,2.2,7631,Maryborough (Vic.),45.53823494,1312
201031017,49,867,371,130,880,1.1,700,2.3,5064,Maryborough Region,1627.568355,1133
202011018,38,1200,484,195,1103,1.1,868,2.2,14507,Bendigo,15.97541089,2357
202011019,38,1192,449,175,973,1.1,790,2.4,10127,California Gully - Eaglehawk,33.03626626,1398
202011020,41,1365,546,220,1345,1,1049,2.3,13681,East Bendigo - Kennington,17.14872443,2708
202011021,33,1300,514,225,1336,1.1,1009,2.4,9189,Flora Hill - Spring Gully,13.20051588,1936
202011022,38,1300,491,200,1112,1.1,901,2.4,18409,Kangaroo Flat - Golden Square,40.88600385,2749
202011023,34,1608,641,260,1668,1.1,1554,3.1,4401,Maiden Gully,43.0064465,744
202011024,35,1625,664,300,1722,1.1,1608,3.1,7031,Strathfieldsaye,56.41432183,1393
202011025,34,1500,567,240,1362,1.1,1182,2.6,8736,White Hills - Ascot,67.77693544,1252
202021026,41,1517,571,190,1433,1.1,1319,2.8,6205,Bendigo Region - South,796.8528275,1177
202021027,46,1277,471,200,1089,1.1,813,2.2,9733,Castlemaine,83.92917846,2280
202021028,48,1200,448,165,1066,1.1,870,2.3,8178,Castlemaine Region,1514.980345,2211
202021029,51,1170,380,155,874,1.1,737,2.2,4073,Heathcote,756.8184141,725
202021030,43,1472,505,220,1309,1.1,1045,2.5,8832,Kyneton,556.4935106,1725
202021031,42,1700,619,250,1754,1.1,1453,2.7,6408,Woodend,211.8643423,1369
202031032,44,1200,472,150,1204,1.1,996,2.6,4163,Bendigo Region - North,1440.21735,928
202031033,50,780,375,100,867,1.1,687,2.2,7026,Loddon,6193.290516,1992
203011034,36,1733,623,260,1646,1.1,1537,3,4713,Bannockburn,192.1519884,691
203011035,39,1380,531,150,1353,1.1,1165,2.8,6216,Golden Plains - South,1484.469151,1174
203011036,41,1473,525,200,1346,1.1,1165,2.7,5687,Winchelsea,903.2496285,1275
203021037,39,1517,528,240,1289,1.1,957,2.2,13616,Belmont,9.36854746,2242
203021038,36,1200,377,186,931,1.1,774,2.5,25844,Corio - Norlane,80.80576313,2406
203021039,38,1490,586,250,1493,1.1,1077,2.2,12066,Geelong,12.67641637,1846
203021040,37,1517,572,230,1468,1.1,1051,2.3,18874,Geelong West - Hamlyn Heights,31.98114079,3012
203021041,37,1616,545,260,1426,1.1,1201,2.6,19702,Grovedale,55.68301667,2924
203021042,40,1733,581,270,1793,1,1424,2.6,19321,Highton,40.67873453,3767
203021043,37,1647,579,265,1578,1.1,1376,2.8,15522,Lara,588.5086711,1969
203021044,39,1565,546,275,1392,1,1191,2.6,10111,Leopold,27.92829363,1517
203021045,41,1343,462,200,1090,1.1,853,2.3,14712,Newcomb - Moolap,43.43438611,1669
203021046,40,1800,642,250,1866,1.1,1327,2.4,9682,Newtown (Vic.),5.791361292,1922
203021047,42,1480,435,235,1169,1.1,933,2.4,13997,North Geelong - Bell Park,21.93339527,1598
203031048,44,1500,489,260,1266,1.1,1029,2.6,11697,Clifton Springs,65.14978612,1887
203031049,48,1598,537,240,1251,1.1,962,2.3,4919,Lorne - Anglesea,447.9910334,1263
203031050,41,1720,602,275,1566,1,1272,2.6,18357,Ocean Grove - Barwon Heads,156.9864177,3570
203031051,55,1517,409,235,941,1,763,2.1,6497,Portarlington,71.85461172,1161
203031052,54,1517,563,249,1379,1,1012,2.2,4072,Queenscliff,61.67470959,1217
203031053,37,2000,671,330,1704,1.1,1446,2.7,15042,Torquay,126.3191965,2829
204011054,49,1300,457,160,1067,1.1,831,2.2,6097,Alexandra,2118.956741,1569
204011055,51,1083,446,150,988,1.1,819,2.2,5950,Euroa,2057.904505,1596
204011056,38,1528,525,230,1356,1.1,1153,2.7,11948,Kilmore - Broadford,461.5222683,1814
204011057,44,1200,496,175,1131,1.1,890,2.3,8153,Mansfield (Vic.),3927.946648,1947
204011058,48,1239,480,180,1086,1.1,893,2.3,3558,Nagambie,1294.350246,692
204011059,42,1127,459,160,1065,1.1,829,2.3,6369,Seymour,79.30868731,1072
204011060,37,1500,598,210,1381,1.1,1259,2.8,4223,Seymour Region,1688.953164,828
204011061,39,1387,360,175,675,1.3,656,2.2,219,Upper Yarra Valley,854.8006259,44
204011062,49,1387,441,180,1071,1.1,841,2.2,3395,Yea,1474.175384,903
204021063,46,1213,459,175,1057,1.1,792,2.2,10331,Benalla,315.3047721,2119
204021064,48,1192,485,125,1131,1.1,952,2.5,3378,Benalla Region,2105.323619,900
204021065,43,1335,531,165,1260,1.1,971,2.4,3712,Rutherglen,479.3483277,881
204021066,41,1300,489,180,1139,1.1,863,2.3,17687,Wangaratta,57.58308945,3143
204021067,45,1300,513,130,1235,1.1,1013,2.5,9127,Wangaratta Region,3587.25307,2279
204031068,48,1517,498,190,1179,1.1,956,2.3,4218,Beechworth,371.3301043,1012
204031069,47,1300,488,175,1090,1.1,850,2.2,7734,Bright - Mount Beauty,4253.731274,1971
204031070,43,1300,560,192,1371,1.1,1137,2.5,2890,Chiltern - Indigo Valley,513.1746341,714
204031071,47,1300,445,160,1076,1.1,806,2.3,4510,Myrtleford,553.3641158,963
204031072,47,1083,458,135,1051,1.1,847,2.3,5862,Towong,6668.720953,1819
204031073,34,1500,595,220,1366,1.1,1158,2.6,14583,West Wodonga,153.8787121,2203
204031074,36,1460,565,200,1285,1.1,1008,2.4,20938,Wodonga,278.8099914,3450
204031075,42,1500,585,175,1475,1.1,1292,2.7,4412,Yackandandah,708.1982783,1190
205011076,39,1517,501,220,1212,1.1,1000,2.5,13219,Drouin,326.7615998,2331
205011077,43,1300,497,150,1243,1.1,1007,2.6,5965,Mount Baw Baw Region,2756.809605,1336
205011078,42,1309,503,180,1294,1.1,1056,2.5,7073,Trafalgar (Vic.),500.3829582,1350
205011079,40,1361,528,200,1320,1.1,1032,2.5,16722,Warragul,353.2969154,3208
205021080,0,0,0,0,0,0,0,0,0,Alps - East,2072.153082,0
205021081,42,1300,475,197,1084,1.1,840,2.3,13243,Bairnsdale,155.0116203,2460
205021082,47,1200,455,140,1038,1.1,879,2.4,7290,Bruthen - Omeo,7378.134992,1738
205021083,0,0,0,0,0,0,0,0,0,Lake King,93.87431152,0
205021084,49,1300,413,200,965,1.1,768,2.3,9463,Lakes Entrance,214.049849,1726
205021085,48,964,391,125,891,1.1,697,2.2,6701,Orbost,11382.70371,1685
205021086,56,1170,427,200,948,1,796,2.2,5604,Paynesville,417.7001995,1271
205031087,49,1179,433,150,996,1.1,792,2.2,8190,Foster,1499.988014,2173
205031088,50,659,303,0,728,1.1,425,2,116,French Island,170.2290381,55
205031089,42,1387,489,180,1177,1.1,969,2.5,8744,Korumburra,600.6730852,1833
205031090,42,1300,514,200,1273,1.1,987,2.4,10523,Leongatha,801.0282564,2522
205031091,46,1450,482,225,1053,1.1,861,2.2,9406,Phillip Island,100.5730538,1749
205031092,32,0,900,70,1750,1,1375,4,14,Wilsons Promontory,481.5078656,0
205031093,47,1300,465,220,1076,1.1,853,2.2,20032,Wonthaggi - Inverloch,727.6883016,3731
205041094,39,1192,469,160,1345,1.1,1125,2.6,11386,Churchill,796.6522125,2079
205041095,41,1083,404,140,1031,1.1,770,2.3,16674,Moe - Newborough,105.2844337,2296
205041096,40,990,391,150,931,1.1,732,2.2,14004,Morwell,85.48576816,1637
205041097,36,1354,563,200,1458,1.1,1164,2.4,25699,Traralgon,149.6453129,3566
205041098,40,1220,530,150,1441,1.1,1243,2.6,4448,Yallourn North - Glengarry,342.8899737,778
205051099,40,910,350,0,841,1,741,2.3,29,Alps - West,2955.863318,3
205051100,47,1127,418,160,1072,1.1,827,2.4,3835,Longford - Loch Sport,1611.172545,775
205051101,42,1200,468,160,1156,1.1,912,2.5,13406,Maffra,2532.068338,2790
205051102,38,1213,523,140,1269,1.1,1080,2.6,4553,Rosedale,968.3137957,757
205051103,38,1300,520,195,1266,1.1,955,2.4,14259,Sale,45.62817577,2381
205051104,49,1083,419,150,956,1.1,762,2.2,5256,Yarram,1931.646595,1209
206011105,33,2000,685,350,1809,1.2,1432,2.3,22764,Brunswick,5.142469999,3934
206011106,33,2100,741,351,1931,1.1,1468,2.3,8476,Brunswick East,2.168041951,1481
206011107,34,1950,651,277,1626,1.2,1232,2.2,13149,Brunswick West,3.179281678,1950
206011108,35,1950,548,330,1540,1.2,1325,2.6,24977,Coburg,6.933716816,2938
206011109,38,1954,595,323,1730,1.1,1433,2.7,9533,Pascoe Vale South,2.989804922,1171
206021110,36,1964,739,300,2074,1.1,1501,2.4,8205,Alphington - Fairfield,2.885117964,1456
206021111,36,2010,736,346,2031,1.1,1564,2.4,22920,Northcote,6.145080912,3939
206021112,36,2000,640,288,1614,1.2,1275,2.3,17435,Thornbury,4.997102988,2469
206031113,35,2167,710,266,1938,1.1,1448,2.4,13475,Ascot Vale,3.835908918,1903
206031114,38,2145,721,300,2120,1.1,1539,2.5,24761,Essendon - Aberfeldie,8.441810864,3633
206031115,31,2000,587,250,1471,1.2,1105,2.2,9160,Flemington,1.580799139,1269
206031116,37,2167,763,321,2190,1.1,1609,2.4,13531,Moonee Ponds,4.355399746,1835
206041117,25,1900,363,339,1271,1.2,589,1.8,14104,Carlton,1.818232663,2659
206041118,31,2700,1060,508,2450,1.2,1900,1.9,5791,Docklands,3.001915909,708
206041119,36,2300,1170,410,2705,1.1,1997,1.8,4903,East Melbourne,2.899761753,1059
206041120,26,3188,818,329,2036,1,1458,2.1,78,Flemington Racecourse,1.709373456,20
206041121,32,2167,920,350,2228,1.1,1718,2.2,9719,Kensington,2.146993603,1616
206041122,26,1950,560,415,1455,1.3,1039,1.8,20030,Melbourne,2.36864461,2646
206041123,29,2134,662,369,1816,1.2,1338,2.1,15498,North Melbourne,3.249865637,2533
206041124,24,2100,327,370,1976,1.2,1493,2.3,6192,Parkville,4.048695455,1971
206041125,35,2300,1108,381,2660,1.2,1871,1.8,5997,South Yarra - West,1.502259735,1226
206041126,29,2300,988,496,2227,1.2,1838,1.9,11311,Southbank,3.071044598,1696
206041127,0,0,0,0,0,0,0,0,0,West Melbourne,5.732006879,0
206051128,38,2500,1067,460,2653,1.1,2063,2.1,14132,Albert Park,4.675503401,2560
206051129,34,2200,1061,350,2391,1.1,1714,1.9,14638,Elwood,2.553575671,2510
206051130,38,2500,1091,450,2616,1.1,1998,2,14513,Port Melbourne,2.782103577,2155
206051131,55,0,1100,0,5000,2,0,0,5,Port Melbourne Industrial,6.787321793,0
206051132,37,2500,944,400,2515,1.1,1719,2,9829,South Melbourne,2.496003228,1554
206051133,34,2080,958,340,2231,1.2,1495,1.8,22550,St Kilda,3.901440004,3389
206051134,33,2000,870,323,1991,1.2,1421,2,15709,St Kilda East,2.413234919,2625
206061135,36,2500,954,350,2556,1.1,1711,2.1,8760,Armadale,2.182900409,1530
206061136,33,2223,933,365,2286,1.1,1587,1.9,17487,Prahran - Windsor,2.904594075,2600
206061137,33,2230,993,360,2265,1.2,1633,1.9,14664,South Yarra - East,2.517479345,2309
206061138,43,2700,1031,380,2746,1.1,1976,2.2,12871,Toorak,4.319144767,2470
206071139,35,2200,858,391,2235,1.2,1792,2.3,4906,Abbotsford,1.740690754,848
206071140,32,2400,840,411,2285,1.1,1739,2.3,8296,Carlton North - Princes Hill,2.3041137,1878
206071141,32,2167,743,280,1717,1.2,1278,2,6467,Collingwood,1.267039456,946
206071142,33,2205,789,350,1925,1.2,1482,2.1,9430,Fitzroy,1.377488001,1630
206071143,35,2167,838,369,2305,1.1,1698,2.2,11473,Fitzroy North,2.504862277,2296
206071144,33,2373,927,370,2189,1.2,1730,2.1,26121,Richmond (Vic.),6.212358835,4070
206071145,36,2200,906,364,2491,1.1,1898,2.3,8133,Yarra - North,5.208784825,1726
207011146,38,2275,672,310,2371,1.1,1761,2.8,7586,Ashburton (Vic.),2.85481786,1434
207011147,42,2200,651,355,2147,1.1,1570,2.7,15586,Balwyn,5.585510846,2922
207011148,41,2383,626,410,2139,1.1,1786,2.9,19942,Balwyn North,8.849034594,3533
207011149,41,2500,792,388,2613,1.1,2122,2.7,20029,Camberwell,7.291566484,4070
207011150,39,2450,849,413,2653,1.1,2304,2.8,15953,Glen Iris - East,5.686922906,3105
207011151,31,2200,831,340,2509,1.2,1625,2.2,20704,Hawthorn,5.674800105,4144
207011152,33,2300,858,351,2543,1.1,1820,2.4,13572,Hawthorn East,3.825039331,2475
207011153,39,2500,842,386,2580,1.1,2033,2.6,23587,Kew,10.53325053,4749
207011154,39,2253,757,375,2222,1.1,1798,2.7,6305,Kew East,4.01564826,1103
207011155,41,2500,802,367,2710,1.1,2242,2.8,15910,Surrey Hills (West) - Canterbury,5.702580675,3488
207021156,43,2000,510,350,1471,1.1,1224,2.6,10868,Bulleen,6.671084058,1312
207021157,44,2000,525,369,1446,1.1,1242,2.6,18360,Doncaster,8.774365131,2667
207021158,41,2000,533,359,1542,1.1,1355,2.8,27047,Doncaster East,11.17198404,3812
207021159,43,2167,615,390,1961,1,1789,3,16484,Templestowe,16.11723664,2346
207021160,44,2150,571,369,1682,1,1429,2.7,13152,Templestowe Lower,5.93819263,1719
207031161,40,1950,622,331,1852,1.1,1441,2.6,19822,Blackburn,8.60718387,3809
207031162,41,1972,545,300,1657,1.1,1275,2.6,10584,Blackburn South,3.596733056,1812
207031163,34,2000,499,301,1569,1.1,1132,2.5,17370,Box Hill,7.012380416,2601
207031164,38,2000,580,335,1688,1.1,1341,2.6,16427,Box Hill North,6.208363638,2839
207031165,33,2000,383,325,1459,1.1,1015,2.6,10796,Burwood,5.039198895,1801
207031166,40,1816,459,350,1404,1.1,1174,2.7,10141,Burwood East,4.262350459,1433
207031167,39,2167,746,351,2417,1.1,1847,2.6,9772,Surrey Hills (East) - Mont Albert,3.327952117,2031
208011168,44,2383,735,450,2401,1.1,1914,2.7,12834,Beaumaris,5.967998741,2360
208011169,44,3000,884,450,2682,1.1,2201,2.6,21257,Brighton (Vic.),8.20049586,3896
208011170,42,2500,742,441,2475,1.1,1909,2.7,15412,Brighton East,5.607861494,2508
208011171,39,2200,680,321,1888,1.1,1436,2.5,10190,Cheltenham - Highett (West),5.319563046,1479
208011172,40,2346,699,330,2282,1.1,1652,2.6,16876,Hampton,5.685143527,2742
208011173,44,2500,778,381,2437,1.1,1795,2.5,15247,Sandringham - Black Rock,6.429836464,2755
208021174,40,2100,648,360,2012,1.1,1521,2.6,20883,Bentleigh - McKinnon,6.224685232,3037
208021175,40,2037,595,363,1695,1.1,1406,2.7,25924,Bentleigh East,9.187105961,3341
208021176,35,2018,652,300,1738,1.2,1287,2.3,16299,Carnegie,3.804657494,2231
208021177,35,2200,775,346,2231,1.1,1672,2.5,19770,Caulfield - North,6.419201208,4040
208021178,40,2232,708,360,2119,1.1,1548,2.5,16435,Caulfield - South,4.742288993,2656
208021179,37,2167,811,325,2214,1.1,1537,2.4,10741,Elsternwick,2.861748758,1717
208021180,35,2000,581,320,1735,1.1,1365,2.6,7055,Hughesdale,2.009681194,889
208021181,36,2000,706,291,1946,1.2,1353,2.4,8592,Murrumbeena,2.514777272,1257
208021182,33,2000,664,319,1791,1.2,1324,2.4,12370,Ormond - Glen Huntly,2.936924806,1782
208031183,37,2000,669,370,1918,1,1805,3.2,8757,Aspendale Gardens - Waterways,5.307110663,1051
208031184,76,0,2000,0,0,1,0,1,14,Braeside,9.08195698,0
208031185,41,1950,649,320,1716,1.1,1304,2.4,11187,Carrum - Patterson Lakes,5.824930275,1278
208031186,40,1857,618,270,1555,1.1,1087,2.1,12955,Chelsea - Bonbeach,5.423060056,1701
208031187,37,1800,606,220,1565,1.1,1336,2.7,5185,Chelsea Heights,3.195474236,623
208031188,40,1950,592,318,1589,1.1,1224,2.4,20365,Cheltenham - Highett (East),8.736859944,2575
208031189,39,1839,660,314,1804,1.1,1413,2.6,12077,Edithvale - Aspendale,5.100410631,1863
208031190,41,2000,664,290,1769,1.1,1287,2.3,11667,Mentone,4.449583371,1669
208031191,38,2119,628,351,1751,1.1,1424,2.6,8052,Moorabbin - Heatherton,11.6996838,974
208031192,0,0,0,0,0,0,0,0,0,Moorabbin Airport,3.075571037,0
208031193,39,2000,678,295,1880,1.1,1389,2.4,18722,Mordialloc - Parkdale,7.967882985,2745
208041194,37,2500,869,341,2542,1.1,1813,2.4,19301,Malvern - Glen Iris,6.156777585,3622
208041195,36,2400,706,350,2420,1.1,1713,2.6,20066,Malvern East,7.567914803,3542
209011196,39,1755,502,301,1382,1.1,1194,2.7,9516,Bundoora - East,4.07508234,1144
209011197,39,1776,632,300,1774,1.1,1497,2.7,20226,Greensborough,10.09708392,2896
209011198,39,2000,664,321,1870,1.1,1452,2.4,13614,Heidelberg - Rosanna,6.371997862,2266
209011199,35,1733,452,242,1169,1.2,939,2.4,13445,Heidelberg West,6.691113743,1356
209011200,39,2167,728,321,2162,1.1,1599,2.5,11085,Ivanhoe,5.050326731,1943
209011201,42,2300,823,340,2570,1.1,2120,2.8,7691,Ivanhoe East - Eaglemont,4.277669961,1463
209011202,40,1852,681,300,1822,1.1,1460,2.5,15628,Montmorency - Briar Hill,12.02778219,2671
209011203,39,1926,630,300,1711,1.1,1422,2.6,18110,Viewbank - Yallambie,10.23857314,2681
209011204,38,1733,589,295,1530,1.1,1301,2.6,8984,Watsonia,3.785595729,1201
209021205,28,2000,392,312,1567,1.1,1260,2.9,10356,Kingsbury,9.009092007,1356
209021206,36,1880,518,300,1373,1.2,1155,2.5,29925,Preston,11.31273284,3165
209021207,37,1718,433,270,1138,1.2,939,2.4,24692,Reservoir - East,8.966624337,2081
209021208,38,1733,435,280,1175,1.1,1011,2.5,22940,Reservoir - West,10.15532794,1815
209031209,39,1950,719,325,2170,1.1,1902,2.9,22804,Eltham,19.48747492,3917
209031210,38,1733,663,261,1800,1.1,1612,3,3511,Hurstbridge,14.84189855,652
209031211,38,1733,547,165,1431,1.1,1259,2.8,3577,Kinglake,319.5044104,685
209031212,42,1950,647,201,1747,1.1,1516,2.9,5022,Panton Hill - St Andrews,292.198115,1110
209031213,38,2006,698,321,2130,1,2039,3.2,8953,Plenty - Yarrambat,29.11704011,1240
209031214,41,1950,730,332,2237,1.1,2053,3,6606,Research - North Warrandyte,49.79503477,1390
