region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Total_Persons_Persons,SA2_NAME,AREA_SQKM,Persons_Total_Volunteer
209031215,36,1950,682,325,2009,1.1,1848,3.1,13450,Wattle Glen - Diamond Creek,26.8245885,2091
209041216,34,1950,560,351,1648,1.1,1434,2.9,5438,Bundoora - North,4.714462928,548
209041217,40,1655,445,310,1226,1.1,1063,2.6,6122,Bundoora - West,2.560757054,586
209041218,32,1842,543,300,1369,1.1,1284,3,26855,Epping,84.8897321,1883
209041219,38,1582,361,280,987,1.1,919,2.9,19873,Lalor,12.06419211,1058
209041220,36,1600,547,301,1500,1.1,1408,3.1,18236,Mill Park - North,8.135829285,1423
209041221,35,1517,526,300,1398,1.1,1317,3,12284,Mill Park - South,4.925843497,1078
209041222,30,2113,724,350,1736,1.1,1643,3.1,38321,South Morang,59.73858051,3216
209041223,38,1517,360,275,962,1.1,900,2.9,20331,Thomastown,14.68424644,1050
209041224,34,1733,625,290,1523,1.1,1415,3,12029,Wallan,507.7412418,1463
209041225,39,1820,583,250,1483,1.1,1324,2.8,7414,Whittlesea,297.9926448,1067
210011226,40,1850,539,308,1365,1.1,1141,2.4,6959,Airport West,3.719782463,676
210011227,0,0,0,0,0,0,0,0,0,Essendon Airport,3.354922386,0
210011228,43,1820,582,300,1625,1,1353,2.7,8313,Keilor,17.51227747,978
210011229,43,1800,476,300,1338,1.1,1167,2.7,24245,Keilor East,10.89193032,2212
210011230,39,2000,634,331,1849,1.1,1455,2.6,6267,Niddrie - Essendon West,2.803003661,851
210011231,40,2000,684,350,2101,1.1,1775,2.9,9039,Strathmore,4.144638282,1289
210021232,38,1907,647,288,1875,1.1,1670,2.9,11078,Gisborne,211.0494011,1920
210021233,43,1950,675,270,1848,1.1,1653,2.7,3183,Macedon,72.99095157,695
210021234,39,1733,674,250,1839,1.1,1637,3,3753,Riddells Creek,83.34955461,731
210021235,40,1599,576,230,1558,1.1,1351,2.8,8622,Romsey,624.7093381,1545
210031236,38,1950,465,277,1247,1.2,1066,2.5,6575,Coburg North,4.878197294,687
210031237,37,1625,362,281,994,1.2,865,2.8,12597,Fawkner,5.084927468,813
210031238,36,1751,444,280,1187,1.1,990,2.6,27776,Glenroy - Hadfield,13.43166842,2291
210031239,37,1950,588,312,1506,1.1,1232,2.5,20660,Pascoe Vale,6.983724941,2268
210041240,36,1700,629,266,1720,1.1,1575,3,12638,Sunbury,129.5485279,1573
210041241,36,1618,625,271,1584,1.1,1351,2.7,24215,Sunbury - South,131.1357815,2957
210051242,33,1300,335,237,854,1.2,751,2.8,11695,Broadmeadows,8.826688684,665
210051243,33,1360,312,250,840,1.2,787,3.1,16029,Campbellfield - Coolaroo,18.18663092,747
210051244,30,1894,598,312,1437,1.1,1399,3.2,34319,Craigieburn - Mickleham,106.0715145,2541
210051245,39,1647,539,300,1423,1.1,1251,2.8,17109,Gladstone Park - Westmeadows,13.93699042,1464
210051246,37,1984,556,355,1747,1.1,1726,3.4,12101,Greenvale - Bulla,95.81507547,1031
210051247,29,1400,316,272,890,1.2,879,3.4,14842,Meadow Heights,4.625291331,764
210051248,39,2167,735,0,2250,1.2,733,3.5,142,Melbourne Airport,30.38486828,13
210051249,28,1750,405,320,1234,1.2,1254,3.7,20051,Roxburgh Park - Somerton,12.38136984,1154
210051250,38,1600,555,280,1260,1.1,1070,2.3,6267,Tullamarine,3.859572022,475
211011251,37,1600,573,280,1391,1.1,1162,2.5,11240,Bayswater,8.043669218,1491
211011252,38,1650,598,288,1433,1.1,1200,2.5,25052,Boronia - The Basin,16.97960694,3468
211011253,38,1680,583,283,1491,1.1,1282,2.6,28075,Ferntree Gully,16.19874463,3893
211011254,38,1733,597,321,1552,1.1,1385,2.8,13032,Knoxfield - Scoresby,15.18417987,1842
211011255,36,2000,699,350,2182,1,2103,3.4,6551,Lysterfield,18.49374698,821
211011256,36,1733,599,346,1707,1.1,1590,3.1,15235,Rowville - Central,8.200350358,1986
211011257,35,2000,661,350,1837,1,1764,3.2,8079,Rowville - North,4.168493564,966
211011258,36,1919,668,380,1902,1,1835,3.2,10828,Rowville - South,9.27916299,1298
211011259,41,1800,604,320,1697,1.1,1470,2.8,13767,Wantirna,8.306345834,1957
211011260,42,1733,553,340,1708,1.1,1455,2.9,17478,Wantirna South,13.36162705,2764
211021261,41,2159,654,351,2022,1,1747,2.9,15499,Donvale - Park Orchards,20.80267125,2629
211021262,40,2000,710,300,2284,1.1,2104,3.2,10005,Warrandyte - Wonga Park,45.75932345,1848
211031263,35,1700,627,275,1569,1.1,1312,2.7,11476,Bayswater North,9.909335289,1463
211031264,39,1700,585,285,1443,1.1,1142,2.4,29597,Croydon,17.74700995,4292
211031265,37,1800,652,320,1958,1.1,1778,3,18015,Croydon Hills - Warranwood,9.492288478,2945
211031266,37,1733,576,281,1459,1.1,1133,2.4,16009,Ringwood,9.916130928,2388
211031267,39,1766,620,290,1613,1.1,1296,2.5,19003,Ringwood East,9.393292117,3304
211031268,40,1822,660,320,1905,1,1671,2.9,9318,Ringwood North,4.730897274,1724
211041269,41,1749,534,301,1448,1.1,1117,2.4,10051,Forest Hill,4.070519298,1580
211041270,38,1885,651,310,1757,1.1,1424,2.5,14811,Mitcham (Vic.),6.627041085,2597
211041271,37,1950,594,300,1570,1.1,1278,2.6,10947,Nunawading,5.078212063,1733
211041272,40,1863,593,323,1672,1.1,1385,2.7,9902,Vermont,4.609475984,1764
211041273,45,1811,564,379,1783,1,1560,2.9,11416,Vermont South,6.183987251,1959
211051274,37,1673,630,263,1701,1.1,1506,2.9,10063,Belgrave - Selby,55.63485159,1842
211051275,40,1760,587,335,1564,1,1418,2.8,9125,Chirnside Park,22.20266183,1307
211051276,40,1533,525,240,1293,1.1,1069,2.5,12844,Healesville - Yarra Glen,369.5242485,2228
211051277,40,1603,554,280,1350,1.1,1113,2.5,8530,Kilsyth,8.242155634,1161
211051278,37,1733,592,279,1520,1.1,1284,2.7,17989,Lilydale - Coldstream,109.3815332,2601
211051279,40,1594,539,231,1374,1.1,1201,2.7,5542,Monbulk - Silvan,68.55542407,1034
211051280,40,1720,612,250,1642,1.1,1388,2.8,6733,Montrose,10.5432351,1048
211051281,35,1733,595,295,1550,1.1,1361,2.8,20689,Mooroolbark,12.54390374,2932
211051282,42,1733,654,285,1755,1.1,1527,2.6,9658,Mount Dandenong - Olinda,81.89967938,1959
211051283,36,1655,615,275,1546,1.1,1418,2.9,9374,Mount Evelyn,16.98976182,1492
211051284,37,1690,635,275,1760,1.1,1509,2.8,9780,Upwey - Tecoma,8.891215409,1738
211051285,37,1625,597,231,1493,1.1,1321,2.9,7409,Wandin - Seville,111.7346739,1233
211051286,40,1387,488,230,1183,1.1,974,2.6,15984,Yarra Valley,728.8007586,2488
212011287,35,1954,680,277,1861,1.1,1668,3,8097,Beaconsfield - Officer,41.72392356,1129
212011288,40,1650,535,210,1439,1.1,1274,2.8,8203,Bunyip - Garfield,373.1108151,1491
212011289,39,1647,602,270,1634,1.1,1447,2.9,17509,Emerald - Cockatoo,370.6838398,3020
212011290,39,1582,510,200,1307,1.1,1082,2.7,6528,Koo Wee Rup,409.4348128,1021
212011291,30,1705,618,296,1343,1.1,1196,2.7,12648,Pakenham - North,36.72584662,1290
212011292,31,1842,591,290,1411,1.1,1254,2.8,21348,Pakenham - South,49.75837483,2078
212021293,39,1733,611,300,1711,1,1395,2.7,22250,Berwick - North,19.73204497,2948
212021294,31,2000,701,346,1781,1.1,1717,3.2,22987,Berwick - South,14.85374962,2382
212021295,35,1300,370,240,915,1.2,818,2.7,10255,Doveton,5.206852106,717
212021296,36,1684,506,300,1402,1.1,1339,3.1,25504,Endeavour Hills,20.05892632,2624
212021297,35,1575,465,287,1218,1.1,1157,3,10162,Hallam,8.055451635,800
212021298,34,1593,556,285,1414,1.1,1271,2.9,25882,Narre Warren,14.17709908,2362
212021299,40,2167,627,312,1931,1.1,1944,3.4,6986,Narre Warren North,34.38767573,938
212031300,33,1560,529,250,1227,1.1,1070,2.7,18622,Cranbourne,13.0266293,1500
212031301,31,1983,639,340,1497,1.1,1394,2.9,8211,Cranbourne East,42.88919545,724
212031302,30,1810,616,295,1429,1.1,1353,3,14570,Cranbourne North,10.23952792,1193
212031303,39,2167,606,260,1618,1.1,1488,2.9,6716,Cranbourne South,81.66232236,730
212031304,29,1647,587,295,1262,1.1,1204,3,8743,Cranbourne West,12.89820888,593
212031305,32,1517,507,282,1223,1.1,1166,3.1,23767,Hampton Park - Lynbrook,13.3358655,1782
212031306,31,2167,698,350,1725,1.1,1704,3.3,11666,Lynbrook - Lyndhurst,7.379610671,927
212031307,31,1811,622,330,1615,1.1,1590,3.4,28594,Narre Warren South,13.00317675,2646
212031308,38,1700,581,245,1465,1.1,1323,2.8,7477,Pearcedale - Tooradin,98.51119777,996
212041309,41,1733,446,300,1360,1.1,1233,2.9,11662,Clarinda - Oakleigh South,6.322751633,1034
212041310,33,1700,411,295,1112,1.2,1051,2.8,11625,Clayton South,7.938549055,918
212041311,33,1500,375,243,916,1.3,806,2.7,25923,Dandenong,61.79558435,1938
212041312,37,1517,430,260,1146,1.1,1030,2.8,21910,Dandenong North,9.535355134,1827
212041313,42,1822,606,311,1660,1,1379,2.7,10170,Dingley Village,7.243484406,1467
212041314,37,1800,484,300,1320,1.1,1256,3.1,20044,Keysborough,30.27976575,1659
212041315,35,1500,405,250,1005,1.2,901,2.6,28377,Noble Park,8.56144131,2347
212041316,38,1428,440,277,1182,1.1,1056,2.8,7390,Noble Park North,3.757857504,517
212041317,34,1500,352,259,922,1.3,884,2.9,19771,Springvale,11.10578013,1474
212041318,34,1517,383,277,1023,1.2,998,3.1,12184,Springvale South,4.559806203,861
212051319,35,2167,544,320,1627,1.1,1301,2.6,16252,Ashwood - Chadstone,6.709546388,2121
212051320,27,1800,339,320,1149,1.2,965,2.6,17709,Clayton,9.411216368,2294
212051321,43,1950,538,380,1592,1.1,1393,2.8,20722,Glen Waverley - East,9.163846139,3529
212051322,40,2000,498,370,1488,1.1,1303,2.8,18486,Glen Waverley - West,7.675606295,2842
212051323,42,2000,560,361,1663,1.1,1387,2.7,14916,Mount Waverley - North,6.484132346,2652
212051324,41,2000,573,351,1644,1.1,1351,2.6,17162,Mount Waverley - South,8.700772508,2819
212051325,39,1950,543,321,1474,1.1,1347,2.8,17647,Mulgrave,10.72205583,1947
212051326,35,1963,537,330,1550,1.1,1313,2.7,20233,Oakleigh - Huntingdale,10.16960456,2363
212051327,44,2000,583,364,1767,1,1566,2.8,19105,Wheelers Hill,10.45085009,2852
213011328,34,1517,417,220,989,1.2,871,2.4,7162,Ardeer - Albion,4.588277318,545
213011329,31,2000,555,325,1494,1.1,1532,3.5,8839,Cairnlea,4.404986678,528
213011330,31,1900,539,290,1323,1.1,1239,2.9,22193,Deer Park - Derrimut,21.33614035,1378
213011331,33,1517,439,270,1243,1.1,1177,3.1,8443,Delahey,3.505506635,508
213011332,38,1509,470,280,1369,1.1,1272,3,13469,Keilor Downs,7.659809639,1107
213011333,35,1384,367,250,985,1.2,948,3,13529,Kings Park (Vic.),4.43204758,806
213011334,36,1400,357,250,931,1.2,844,2.8,18884,St Albans - North,6.522270953,1153
213011335,36,1408,346,250,939,1.2,889,2.9,16209,St Albans - South,6.265224571,1000
213011336,34,1571,412,254,1089,1.2,986,2.7,8838,Sunshine,4.7318584,928
213011337,37,1426,353,254,979,1.2,882,2.9,10636,Sunshine North,8.022928529,690
213011338,37,1463,366,260,988,1.1,946,2.9,16747,Sunshine West,12.96902272,1110
213011339,31,1647,610,300,1520,1.1,1422,3,11529,Sydenham,3.948304956,986
213011340,38,1555,570,330,1753,1.1,1663,3.3,17936,Taylors Lakes,18.46292527,1608
213021341,42,1820,573,280,1565,1.1,1162,2.3,11779,Altona,17.68484144,1611
213021342,37,1500,528,275,1360,1.1,1228,2.7,18746,Altona Meadows,10.54008758,1629
213021343,38,1950,409,270,1065,1.1,926,2.5,13010,Altona North,16.18434249,998
213021344,36,2162,761,321,2078,1.1,1626,2.5,16157,Newport,8.840058286,2259
213021345,35,1733,618,290,1567,1.1,1447,2.9,4972,Seabrook,1.619894946,461
213021346,41,2167,752,305,2362,1.1,1699,2.5,14747,Williamstown,7.346924857,2490
213031347,32,1733,379,243,1071,1.2,957,2.7,15932,Braybrook,7.483014512,1358
213031348,32,1957,487,260,1237,1.3,1057,2.3,13203,Footscray,4.967185113,1533
213031349,32,2167,701,348,1865,1.1,1638,2.7,10165,Maribyrnong,5.495089676,1068
213031350,35,2058,770,285,1963,1.2,1470,2.3,8358,Seddon - Kingsville,1.680071789,1060
213031351,35,1784,547,250,1363,1.2,1131,2.4,10230,West Footscray - Tottenham,5.981010515,1174
213031352,36,2184,767,323,2033,1.1,1584,2.4,13747,Yarraville,5.620441176,1811
213041353,37,1600,560,220,1470,1.1,1220,2.7,17155,Bacchus Marsh,196.3229189,2401
213041354,31,2000,683,325,1660,1.1,1584,3.1,26068,Caroline Springs,11.49292617,1960
213041355,32,1896,641,300,1663,1.1,1607,3.3,15543,Hillside,66.5465454,1192
213041356,34,1452,523,240,1235,1.1,1078,2.7,17701,Melton,130.7121491,1504
213041357,33,1500,529,240,1259,1.1,1095,2.7,15803,Melton South,110.9626696,1387
213041358,30,1625,611,265,1419,1.1,1296,2.9,14171,Melton West,24.20224333,1186
213041359,37,1200,481,175,1186,1.1,1001,2.7,2660,Rockbank - Mount Cottrell,125.7586487,139
213041360,30,2153,688,325,1698,1.1,1658,3.3,15465,Taylors Hill,5.976597677,1056
213051361,33,1517,579,261,1512,1.1,1392,3,18978,Hoppers Crossing - North,11.08827302,1845
213051362,36,1484,517,254,1324,1.1,1209,2.8,18620,Hoppers Crossing - South,7.010861207,1982
213051363,31,1517,462,260,1119,1.1,1060,2.7,5351,Laverton,22.24465527,434
213051364,31,2200,849,350,2057,1,1986,3.1,32413,Point Cook,36.94872909,2820
213051365,29,2000,702,300,1626,1.1,1560,3.1,21975,Tarneit,62.12163026,1814
213051366,29,2000,724,300,1562,1.1,1518,3.1,11168,Truganina,27.01027653,760
213051367,35,1478,523,245,1289,1.1,1130,2.7,29742,Werribee,135.4211142,2981
213051368,41,1560,522,231,1372,1.1,1118,2.5,10476,Werribee - South,114.0334422,1175
213051369,30,1700,659,279,1453,1.1,1356,2.9,17305,Wyndham Vale,128.239646,1432
214011370,34,1600,591,290,1339,1.1,1183,2.6,19122,Carrum Downs,20.3077626,1541
214011371,38,1517,530,250,1234,1.1,962,2.2,21583,Frankston,11.62501233,2618
214011372,38,1300,456,250,1048,1.1,890,2.4,19061,Frankston North,13.23852393,1870
214011373,43,1800,595,301,1707,1,1372,2.6,17612,Frankston South,14.56052447,2654
214011374,36,1733,627,280,1599,1.1,1391,2.8,22498,Langwarrin,37.61962321,2452
214011375,39,1547,559,250,1335,1.1,1007,2.3,16033,Seaford (Vic.),12.43171159,1942
214011376,33,1974,731,360,1771,1.1,1680,3,10550,Skye - Sandhurst,19.81540531,967
214021377,49,1539,485,270,1115,1,907,2.2,9014,Dromana,45.05809729,1415
214021378,49,1800,653,200,1684,1.1,1442,2.6,5331,Flinders,287.4170692,1244
214021379,38,1582,539,230,1253,1.1,1010,2.5,20299,Hastings - Somers,108.8851399,2959
214021380,43,1733,555,280,1358,1,1025,2.3,22421,Mornington,21.08987296,3201
214021381,43,2167,661,350,1986,1,1696,2.8,17247,Mount Eliza,23.21001067,2872
214021382,41,1950,617,346,1676,1,1415,2.7,17087,Mount Martha,30.19249024,2670
214021383,49,1573,491,251,1109,1,877,2.2,16127,Point Nepean,67.17285789,2564
214021384,51,1500,422,240,970,1.1,748,2.1,19622,Rosebud - McCrae,23.68827412,2736
214021385,38,1600,573,270,1468,1.1,1278,2.7,17452,Somerville,117.3529586,2256
215011386,43,1020,488,160,1081,1.1,850,2.3,8076,Ararat,161.178648,1485
215011387,49,938,462,78,1033,1.1,844,2.3,2907,Ararat Region,4023.438761,945
215011388,39,1192,531,170,1202,1.1,932,2.3,15894,Horsham,83.0693951,3620
215011389,44,1083,528,80,1231,1.1,1026,2.6,3410,Horsham Region,4251.760231,1070
215011390,47,758,444,115,988,1.1,789,2.3,7195,Nhill Region,11042.81926,2300
215011391,47,867,398,122,932,1.1,732,2.3,3585,St Arnaud,3008.575155,985
215011392,44,1000,466,145,1123,1.1,859,2.3,8270,Stawell,2741.553839,1710
215011393,47,834,493,52,1062,1.1,809,2.2,2883,West Wimmera,5686.070812,950
215011394,48,650,426,110,987,1.1,767,2.3,7028,Yarriambiack,7139.581267,2241
215021395,40,1319,505,168,1274,1.1,1061,2.7,6477,Irymple,88.25808863,1039
215021396,42,1157,427,160,1034,1.1,853,2.6,4641,Merbein,101.8243284,793
215021397,37,1300,462,180,1064,1.1,854,2.4,30647,Mildura,76.15136364,4357
215021398,45,1000,484,90,1161,1.1,901,2.4,3806,Mildura Region,21569.52963,1073
215021399,40,1083,426,150,1060,1.1,853,2.5,5405,Red Cliffs,246.7198783,870
215031400,48,737,406,100,961,1.1,742,2.3,6387,Buloke,8068.684731,2228
215031401,47,1000,430,110,965,1.1,785,2.3,6495,Gannawarra,3568.217374,1731
215031402,47,867,407,135,968,1.1,730,2.2,3873,Kerang,146.607756,1017
215031403,37,1055,443,150,1054,1.2,891,2.8,3471,Robinvale,181.7432211,510
215031404,38,1300,508,170,1139,1.1,884,2.4,10430,Swan Hill,126.5657314,2202
215031405,41,953,453,120,1026,1.1,878,2.6,6550,Swan Hill Region,5759.227693,1394
216011406,40,1473,509,200,1159,1.1,932,2.4,14191,Echuca,183.8169247,2510
216011407,41,1237,458,160,1076,1.1,859,2.4,10736,Kyabram,738.8613176,2132
216011408,42,1200,441,100,1066,1.1,899,2.7,3726,Lockington - Gunbower,1646.358221,815
216011409,46,1109,466,140,1158,1.1,901,2.4,3798,Rochester,351.6445541,945
216011410,48,953,393,125,941,1.1,768,2.3,4098,Rushworth,1633.885924,954
216021411,42,1300,422,170,963,1.1,792,2.4,6245,Cobram,131.7200176,985
216021412,45,1085,471,100,1051,1.1,909,2.5,2559,Moira,1498.816833,577
216021413,42,1083,438,150,1019,1.1,835,2.5,12262,Numurkah,2321.017238,2640
216021414,47,1387,435,190,987,1.1,809,2.3,7057,Yarrawonga,94.99936216,1291
216031415,38,1300,478,175,1101,1.1,848,2.4,7813,Mooroopna,39.97334628,1166
216031416,37,1361,543,190,1272,1.1,1016,2.5,17232,Shepparton - North,65.66480981,2582
216031417,36,1400,495,200,1184,1.1,986,2.6,21457,Shepparton - South,143.24309,2780
216031418,40,1309,553,150,1381,1.1,1211,2.7,3926,Shepparton Region - East,1055.60234,898
216031419,40,1300,489,160,1153,1.1,967,2.6,9792,Shepparton Region - West,1028.722412,1852
217011420,45,1000,442,120,1122,1.1,865,2.4,8831,Glenelg (Vic.),6121.088078,2384
217011421,43,1127,512,165,1212,1.1,903,2.3,10104,Hamilton (Vic.),198.3366513,2297
217011422,41,1235,480,180,1226,1.1,930,2.3,10715,Portland,63.98505742,2183
217011423,44,975,491,100,1165,1.1,918,2.4,6347,Southern Grampians,6563.766691,1987
217021424,46,1083,446,160,1038,1.1,807,2.3,3463,Camperdown,98.11909156,778
217021425,40,1298,498,180,1173,1.1,906,2.4,11778,Colac,54.73466107,1880
217021426,42,1254,509,145,1210,1.1,979,2.6,5318,Colac Region,1934.276411,1242
217021427,45,888,439,120,1066,1.1,818,2.4,5397,Corangamite - North,2538.346792,1406
217021428,40,1083,528,120,1235,1.1,1028,2.7,7474,Corangamite - South,1805.188682,1651
217021429,40,1192,541,120,1273,1.1,1050,2.6,6707,Moyne - East,3277.992013,1650
217021430,42,1300,521,180,1272,1.1,1028,2.5,8890,Moyne - West,2035.718874,2147
217021431,49,1300,475,195,1039,1.1,841,2.2,3268,Otway,1505.900218,905
217021432,37,1512,536,220,1289,1.1,1047,2.5,19542,Warrnambool - North,62.41964612,3597
217021433,39,1430,525,220,1316,1.1,998,2.3,12838,Warrnambool - South,120.1940409,2543
